Line,Tape,File,Date,Time,Depth of Airgun(m),Depth of Reciever(m),X Airgun,Y Airgun,Z Airgun,X_R1,Y_R1,Z_R1,Peak_Index,T90_1,T90_2,T90_3,T90_4,T90_5,T90_6,T90_7,T90_8,T90_9,T90_10,T90_11,T90_12,T90_13,T90_full,RMS_1,RMS_2,RMS_3,RMS_4,RMS_5,RMS_6,RMS_7,RMS_8,RMS_9,RMS_10,RMS_11,RMS_12,RMS_13,RMS_full,SEL_1,SEL_2,SEL_3,SEL_4,SEL_5,SEL_6,SEL_7,SEL_8,SEL_9,SEL_10,SEL_11,SEL_12,SEL_13,SEL_full,SPL_MLM_1,SPL_MLM_2,SPL_MLM_3,SPL_MLM_4,SPL_MLM_5,SPL_MLM_6,SPL_MLM_7,SPL_MLM_8,SPL_MLM_9,SPL_MLM_10,SPL_MLM_11,SPL_MLM_12,SPL_MLM_13,SPL_MLM_full,SEL_MLM_1,SEL_MLM_2,SEL_MLM_3,SEL_MLM_4,SEL_MLM_5,SEL_MLM_6,SEL_MLM_7,SEL_MLM_8,SEL_MLM_9,SEL_MLM_10,SEL_MLM_11,SEL_MLM_12,SEL_MLM_13,SEL_MLM_full
Line_05,TAPE0026.REEL,R000081_1342402331.RAW,198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-7767.9,1193.5,9,103,0.424,0.264,0.272,0.208,0.122,0.118,0.09,0.138,0.05,0.034,0.036,0.03,0.054,0.126,142.9121,157.9143,166.8793,169.9367,172.2027,171.1306,167.7653,154.8851,159.2234,163.1125,161.0585,157.3327,152.8431,176.2733,139.1858,152.1303,161.225,163.1173,163.0663,161.8494,157.3077,146.2839,146.2131,148.4273,146.6215,142.1039,140.1671,167.277,45.5483,53.9724,62.0651,60.8996,60.8927,59.1559,55.8786,55.9135,56.4917,53.315,52.4396,51.4241,49.5242,62.3533,94.3437,111.1769,127.3744,125.0478,123.3345,120.3804,112.6755,112.4643,113.239,106.8711,105.066,103.039,99.5127,125.535
Line_05,TAPE0026.REEL,R000081_1342402331.RAW,198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-7757.9,1186.1,9,107,0.424,0.264,0.272,0.208,0.122,0.118,0.088,0.136,0.05,0.036,0.042,0.064,0.056,0.124,142.2436,157.2117,166.0784,169.1388,171.3836,170.3291,166.9992,153.6382,157.1936,160.2293,156.5059,146.4406,146.6311,175.4824,138.5172,151.4277,160.4241,162.3194,162.2472,161.0479,156.444,144.9736,144.1833,145.7923,142.7384,134.5023,134.1129,166.4166,45.5997,54.8577,61.8469,61.1757,61.1124,59.1882,56.3126,56.0004,56.4063,53.5412,52.9752,51.9047,49.9029,62.384,94.4223,112.9424,126.9404,125.5907,123.66,120.2745,113.3652,112.5747,113.1757,107.2908,106.1358,103.9766,100.0193,125.6923
Line_05,TAPE0026.REEL,R000081_1342402331.RAW,198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-7748,1178.6,9,99,0.456,0.266,0.272,0.21,0.12,0.096,0.086,0.128,0.05,0.036,0.044,0.04,0.05,0.118,139.4093,155.0837,164.4965,167.7676,170.8489,171.3616,168.6265,158.5525,168.8115,172.5679,167.7992,158.6654,151.8497,176.0254,135.999,149.3325,158.8422,160.9898,161.6408,161.1843,157.9715,149.6246,155.8012,158.131,154.2337,144.686,138.8394,166.7442,49.1195,55.6602,60.9043,60.9725,61.9584,60.4889,57.0699,58.4956,58.7445,56.8793,56.1398,52.8663,50.6693,64.3813,101.4682,114.5657,125.0328,125.1786,124.8806,122.1095,117.397,117.2548,117.5998,115.0611,112.4045,105.8558,101.6954,129.0421
Line_05,TAPE0026.REEL,R000081_1342402331.RAW,198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-7738.1,1171.1,9,3388,2.964,2.71,2.578,2.842,2.946,3.212,3.55,3.634,3.616,3.576,3.61,3.638,3.55,2.912,76.4788,89.6721,93.8978,93.3347,91.1872,86.5894,81.4172,80.7931,80.1675,80.9034,81.212,80.4774,78.3565,97.4714,81.1976,94.0018,98.0106,97.8709,95.8795,91.6571,86.9195,86.3969,85.7498,86.4373,86.7871,86.086,83.8588,102.1133,36.2153,41.556,43.5382,44.1195,42.4762,42.2357,39.2832,38.0198,38.5439,38.5371,38.6022,38.4705,37.2439,46.088,75.7056,85.4211,90.314,91.4778,88.219,87.7035,81.8275,79.2661,80.3126,80.3034,80.4296,80.1676,77.7091,95.4011
Line_05,TAPE0026.REEL,R000081_1342402331.RAW,198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-7728.2,1163.6,9,120,0.442,0.266,0.274,0.21,0.122,0.118,0.09,0.138,0.056,0.06,0.04,0.054,0.058,0.124,139.5891,154.6576,163.3917,166.44,168.58,167.3643,163.8038,150.4184,150.3131,146.818,146.7444,142.1993,141.1995,172.6507,136.0433,148.9064,157.7692,159.6622,159.4436,158.0831,153.3463,141.8172,137.795,134.5995,132.765,129.5233,128.8337,163.5849,48.305,55.5358,61.8962,60.556,61.1421,58.2888,55.8912,55.954,56.2447,53.5283,52.9854,52.0278,49.8547,62.2908,99.8593,114.2982,127.0278,124.3417,123.7654,119.5999,112.9588,112.2045,112.7275,107.2657,106.21,104.2986,99.8737,125.2955
Line_05,TAPE0026.REEL,R000081_1342402331.RAW,198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-7718.3,1156,9,124,0.448,0.266,0.274,0.208,0.12,0.116,0.088,0.134,0.05,0.042,0.04,0.052,0.064,0.126,138.6903,153.8639,162.5022,165.6304,167.6906,166.5168,163.1197,150.3859,154.8911,154.7818,149.3444,145.3111,142.8675,171.7371,135.2031,148.1127,156.8797,158.811,158.4824,157.1614,152.5645,141.657,141.8808,141.0143,135.365,132.4711,130.9293,162.7408,47.1704,55.1311,61.8283,60.5186,61.0313,58.1193,55.9313,55.727,56.414,53.2669,52.7829,51.737,49.2289,62.021,97.5645,113.4891,126.8969,124.265,123.7744,119.3219,113.5029,111.9435,113.0773,106.8246,105.8349,103.7266,98.7393,124.7696
Line_05,TAPE0026.REEL,R000081_1342402331.RAW,198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-7708.5,1148.3,9,128,0.424,0.268,0.272,0.208,0.122,0.118,0.088,0.146,0.052,0.052,0.042,0.036,0.05,0.124,138.5101,153.3356,161.971,165.0514,167.0656,165.7805,162.298,148.6006,150.3931,150.2208,151.2818,148.6928,144.5549,171.1946,134.7838,147.6169,156.3167,158.232,157.9292,156.4993,151.7429,140.2441,137.5531,137.3809,137.5143,134.2558,131.5446,162.1288,47.4615,54.0261,61.9452,60.5193,61.1038,58.5312,56.3148,57.9503,57.3529,54.7008,56.3165,51.7216,49.9715,62.4466,98.1643,111.289,127.1243,124.2618,124.0188,119.9558,113.6476,116.0687,114.9159,109.5461,112.7564,103.6227,100.2096,125.4051
Line_05,TAPE0026.REEL,R000081_1342402331.RAW,198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-7698.7,1140.6,9,132,0.444,0.268,0.272,0.206,0.124,0.124,0.088,0.138,0.052,0.056,0.042,0.032,0.06,0.122,137.3095,152.5811,161.1068,164.2055,166.0699,164.5299,161.0554,147.6113,148.2803,147.1482,149.4008,148.031,141.7039,170.3098,133.7833,146.8624,155.4525,157.3442,157.0041,155.4642,150.5003,139.0101,135.4403,134.6301,135.6332,133.0825,129.4854,161.1734,48.9154,56.6583,61.9656,60.4944,61.0828,59.0329,56.9512,57.9531,57.2666,54.1619,55.5568,51.9395,50.4728,62.3484,101.0756,116.5882,127.1776,124.2133,124.1412,120.2751,114.8423,116.1428,114.9172,108.4436,111.2338,103.9965,101.1519,125.2385
Line_05,TAPE0026.REEL,R000081_1342402331.RAW,198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-7689,1132.8,9,121,0.49,0.27,0.27,0.204,0.122,0.114,0.086,0.138,0.052,0.034,0.044,0.032,0.062,0.12,136.4462,152.2133,161.4354,164.7683,167.596,167.164,164.6105,153.6492,162.8536,167.6007,164.2007,161.9806,155.5453,172.4669,133.3482,146.5269,155.749,157.8646,158.4595,157.7331,153.9555,145.048,150.0136,152.9155,150.6352,147.0321,143.4692,163.2587,50.5083,56.6111,62.5664,60.9986,61.3799,59.458,57.7717,62.8096,58.3042,57.6588,60.4291,54.5464,54.0357,65.4739,104.3955,116.641,126.9589,125.2525,124.6494,121.1792,118.772,126.0746,116.7726,117.6823,124.122,109.2047,109.0112,131.1048
Line_05,TAPE0026.REEL,R000081_1342402331.RAW,198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-7679.3,1125,9,123,0.526,0.544,0.316,0.214,0.122,0.092,0.086,0.172,0.054,0.034,0.06,0.046,0.058,0.106,127.0448,139.7131,152.7458,157.2614,161.1308,162.1707,159.3119,148.2302,159.4594,165.3223,161.871,162.3325,159.6974,168.0781,124.2546,137.0691,147.7427,150.5655,151.9944,151.8086,148.6569,140.5854,146.7834,150.6371,149.6526,148.9601,147.3316,158.3311,52.2713,59.8027,63.8099,63.254,61.449,58.4281,57.9214,62.128,61.2229,59.6325,61.506,55.9177,53.6574,65.9841,108.0794,122.8295,129.8057,129.7444,126.0221,117.6998,119.0627,127.3369,122.7376,122.5858,126.2487,112.7931,110.5701,134.9476
