Date,Time,Depth of Airgun(m),Depth of Reciever(m),X Airgun,Y Airgun,Z Airgun,X_R1,Y_R1,Z_R1,Peak_Index,T90_1,T90_2,T90_3,T90_4,T90_5,RMS_1,RMS_2,RMS_3,RMS_4,RMS_5,SEL_1,SEL_2,SEL_3,SEL_4,SEL_5,SPL_MLM_1,SPL_MLM_2,SPL_MLM_3,SPL_MLM_4,SPL_MLM_5,SEL_MLM_1,SEL_MLM_2,SEL_MLM_3,SEL_MLM_4,SEL_MLM_5
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-7767.9,1193.5,9,103,0.126,0.072,0.026,0.042,0.126,176.229,171.7689,166.7909,163.1447,176.2733,167.2327,160.3422,150.9406,149.3772,167.277,62.4921,58.9029,56.9469,53.5482,62.3533,125.8361,118.2581,114.1047,107.2643,125.535
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-7757.9,1186.1,9,107,0.124,0.076,0.02,0.04,0.124,175.466,170.5288,164.8081,159.2172,175.4824,166.4002,159.3369,147.8184,145.2378,166.4166,62.7538,58.8734,56.992,54.0071,62.384,126.4797,118.2249,114.2499,108.176,125.6923
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-7748,1178.6,9,99,0.122,0.05,0.022,0.05,0.118,175.6998,175.8512,176.2294,169.8105,176.0254,166.5634,162.8409,159.6537,156.8002,166.7442,64.6837,61.3248,59.5027,56.7144,64.3813,129.7592,122.8466,119.1173,113.5504,129.0421
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-7738.1,1171.1,9,3388,2.888,3.602,3.634,3.6,2.912,97.2581,87.6378,85.4641,84.6969,97.4714,101.8641,93.2032,91.0679,90.2599,102.1133,45.9465,42.4634,40.9712,40.4362,46.088,95.1188,88.1544,85.1662,84.096,95.4011
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-7728.2,1163.6,9,120,0.124,0.078,0.046,0.036,0.124,172.6452,167.1419,152.9615,149.9156,172.6507,163.5794,156.0628,139.5891,135.4786,163.5849,63.2497,58.5258,56.9081,54.0118,62.2908,127.6541,117.6156,114.0264,108.1905,125.2955
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-7718.3,1156,9,124,0.126,0.078,0.028,0.056,0.126,171.726,166.539,159.3853,151.8106,171.7371,162.7297,155.4599,143.8569,139.2925,162.7408,63.27,58.3784,56.9419,53.7032,62.021,127.9669,117.4234,114.109,107.5944,124.7696
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-7708.5,1148.3,9,128,0.124,0.08,0.04,0.036,0.124,171.1737,165.5605,155.5488,154.2966,171.1946,162.1079,154.5914,141.5694,139.8597,162.1288,63.3564,59.877,58.5446,56.6478,62.4466,127.8775,119.9974,117.2397,113.4162,125.4051
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-7698.7,1140.6,9,132,0.122,0.08,0.038,0.038,0.122,170.2919,164.3363,153.8292,152.2717,170.3098,161.1555,153.3672,139.6271,138.0695,161.1734,62.8613,59.9057,58.2369,56.0078,62.3484,126.539,120.0655,116.7192,112.1286,125.2385
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-7689,1132.8,9,121,0.122,0.062,0.02,0.04,0.12,172.1063,170.5878,172.1023,167.5753,172.4669,162.9699,158.5118,155.1126,153.5959,163.2587,64.9,63.9123,63.007,60.7155,65.4739,130.0546,129.2634,126.1207,124.7024,131.1048
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-7679.3,1125,9,123,0.124,0.052,0.022,0.04,0.106,166.1037,167.5963,170.2336,167.5769,168.0781,157.0379,154.7563,153.6579,153.5975,158.3311,65.6864,63.8693,63.3016,61.7854,65.9841,133.9319,130.9718,129.8176,126.8082,134.9476
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-7669.6,1117.2,9,1788,1.498,0.948,0.84,0.602,1.466,162.7357,161.5803,161.2589,157.6398,163.2993,164.4908,161.3484,160.5017,155.4358,164.9607,66.0391,63.7909,62.7037,58.8315,66.1048,134.5892,127.9223,125.9394,119.7877,134.7408
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-7660,1109.4,9,1786,1.468,0.78,0.72,0.532,1.418,162.4839,162.0322,161.706,158.21,163.1551,164.1512,160.9531,160.2793,155.4691,164.6719,66.4033,63.6425,62.3057,58.2984,66.4778,135.2025,127.6605,125.2909,117.5797,135.2871
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-7650.3,1101.6,9,154,0.124,0.08,0.036,0.044,0.124,166.9393,160.6796,152.7698,151.5411,166.9751,157.8735,149.7105,138.3328,137.9756,157.9093,64.4492,59.0792,57.362,55.4445,64.3765,129.2904,118.6435,115.0094,111.1241,129.1352
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-7640.7,1093.7,9,160,0.124,0.068,0.022,0.042,0.124,167.3071,164.0313,162.9436,158.4595,167.4344,158.2413,152.3564,146.3678,144.692,158.3686,65.5986,62.4798,60.6305,57.6443,65.6688,132.6786,125.4932,121.8871,115.6251,132.5782
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-7631,1085.9,9,150,1.382,1.182,1.188,1.18,1.362,151.6737,149.206,147.8398,147.4663,152.8009,153.0788,149.9322,148.588,148.1851,154.1426,69.3405,67.8561,67.1198,67.0133,69.9104,147.0239,143.5715,142.5847,141.3363,148.0459
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-7621.4,1078,9,1806,1.482,0.854,0.714,0.586,1.444,160.117,158.6612,159.3334,157.016,160.9438,161.8255,157.9758,157.8704,154.695,162.5395,69.3468,68.0965,67.8426,64.3376,69.4281,141.9251,139.4549,138.6458,131.9001,142.0866
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-7611.8,1070.1,9,1806,1.48,0.928,0.728,0.62,1.418,159.7278,157.7102,159.0194,157.4849,160.7444,161.4304,157.3857,157.6407,155.4089,162.2612,65.8934,64.5244,64.2056,59.9182,66.008,135.0193,132.281,131.6587,123.08,135.249
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-7602.2,1062.2,9,1806,1.464,0.892,0.712,0.62,1.388,159.7371,157.9396,159.009,156.4756,160.6102,161.3925,157.4433,157.5338,154.3995,162.0341,65.4138,64.1035,63.536,60.1148,65.5343,134.0547,131.4448,130.1963,123.4751,134.2968
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-7592.6,1054.2,9,1794,1.482,0.926,0.728,0.604,1.46,161.3151,158.7337,159.7637,157.437,161.9114,163.0235,158.3998,158.385,155.2474,163.5549,66.0453,63.9212,63.0635,59.6385,66.1476,135.3737,129.3861,126.5854,121.9275,135.5719
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-7583,1046.3,9,1807,1.464,0.97,0.814,0.602,1.4,160.3821,158.0917,158.75,156.5918,161.1445,162.0375,157.9594,157.8563,154.3878,162.6058,65.034,62.7667,62.1412,58.077,65.1061,133.3063,127.7422,124.8165,119.1803,133.4521
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-7573.4,1038.3,9,1775,1.358,0.94,0.828,0.696,1.214,159.3659,158.3098,158.4853,155.1008,160.56,160.6949,158.041,157.6656,153.5269,161.4022,63.9645,61.9815,61.3302,58.1531,64.0741,131.1723,125.1729,123.2232,117.7627,131.3915
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-7563.9,1030.4,9,1808,1.432,0.942,0.784,0.692,1.196,160.1847,160.1621,160.6693,158.1475,162.0459,161.7441,159.9027,159.6125,156.5486,162.8232,64.1772,62.383,61.3654,58.6783,64.3027,131.6045,126.4601,124.3813,118.7502,131.857
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-7554.3,1022.4,9,1792,1.444,1.018,0.862,0.778,1.25,160.281,159.8456,159.7324,156.6225,161.7051,161.8767,159.9231,159.0875,155.5323,162.6742,63.879,62.2267,60.9583,58.1716,63.9917,131.0114,126.7151,124.3648,117.3132,131.2396
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-7544.8,1014.4,9,1793,1.34,0.992,0.906,0.836,1.126,160.1004,160.1607,159.4957,156.7222,161.7719,161.3714,160.1258,159.067,155.9442,162.2873,63.2429,61.7421,60.717,57.8023,63.3901,129.7542,126.5361,124.0638,117.2581,130.0564
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-7535.3,1006.4,9,1794,1.446,0.854,0.792,0.728,1.244,163.1258,163.195,162.3047,159.2754,164.4536,164.7274,162.5096,161.2919,157.8967,165.4018,64.753,61.9615,60.9576,57.1346,64.8122,132.7759,127.2049,124.8072,117.6189,132.8956
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-7525.8,998.3,9,1794,1.226,0.75,0.74,0.68,1.008,163.8168,163.9237,163.128,160.1511,165.5132,164.7017,162.6743,161.8203,158.4762,165.5478,64.2791,60.966,60.5388,57.459,64.3622,131.8263,125.2492,124.4591,117.76,131.9953
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-7516.3,990.3,9,1794,1.094,0.726,0.718,0.64,0.96,164.2059,163.7507,163.0267,159.3875,165.495,164.5961,162.3601,161.588,157.4493,165.3177,64.3078,60.6649,60.497,58.1185,64.4151,131.8862,124.637,124.0854,117.3718,132.1044
198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-7506.8,982.2,9,1794,1.338,0.824,0.79,0.784,1.178,162.353,160.7823,160.0807,154.6925,163.2791,163.6176,159.9416,159.0569,153.6357,163.9906,64.3425,60.629,60.2802,57.9544,64.4358,131.9523,124.5542,123.8998,117.3456,132.1423
