Line,Tape,File,Date,Time,Depth_at_Airgun(m),Depth_at_Reciever(m),X_Airgun,Y_Airgun,Z_Airgun,X_R1,Y_R1,Z_R1,Peak_Index,Peak_1,Peak_2,Peak_3,Peak_4,Peak_5,Peak_6,Peak_7,Peak_8,Peak_9,Peak_10,Peak_11,Peak_12,Peak_13,T90_1,T90_2,T90_3,T90_4,T90_5,T90_6,T90_7,T90_8,T90_9,T90_10,T90_11,T90_12,T90_13,T90_full,RMS_1,RMS_2,RMS_3,RMS_4,RMS_5,RMS_6,RMS_7,RMS_8,RMS_9,RMS_10,RMS_11,RMS_12,RMS_13,RMS_full,SEL_1,SEL_2,SEL_3,SEL_4,SEL_5,SEL_6,SEL_7,SEL_8,SEL_9,SEL_10,SEL_11,SEL_12,SEL_13,SEL_full,SPL_MLM_1,SPL_MLM_2,SPL_MLM_3,SPL_MLM_4,SPL_MLM_5,SPL_MLM_6,SPL_MLM_7,SPL_MLM_8,SPL_MLM_9,SPL_MLM_10,SPL_MLM_11,SPL_MLM_12,SPL_MLM_13,SPL_MLM_full,SEL_MLM_1,SEL_MLM_2,SEL_MLM_3,SEL_MLM_4,SEL_MLM_5,SEL_MLM_6,SEL_MLM_7,SEL_MLM_8,SEL_MLM_9,SEL_MLM_10,SEL_MLM_11,SEL_MLM_12,SEL_MLM_13,SEL_MLM_full
Line_05,TAPE0026.REEL,R000081_1342402331.RAW,198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-7767.9,1193.5,9,96,115,116,116,105,96,96,96,1769,1776,85,90,1840,1800,0.424,0.264,0.272,0.208,0.122,0.118,0.09,1.038,0.948,0.034,0.036,0.546,0.33,0.126,142.9121,157.9143,166.8793,169.9367,172.2027,171.1306,167.7653,156.0529,158.0759,163.1125,161.0585,153.6149,155.9336,176.2733,139.1858,152.1303,161.225,163.1173,163.0663,161.8494,157.3077,156.2149,157.844,148.4273,146.6215,150.9869,151.1188,167.277,112.7183,122.0284,125.2619,124.4884,121.7854,118.3118,111.7572,133.1953,132.9297,106.63,104.8793,116.4577,114.491,124.7067,113.4974,126.2459,129.3404,128.9895,123.3345,120.3804,112.6755,134.2416,134.1968,106.8711,105.066,118.7688,116.2877,125.535
Line_05,TAPE0026.REEL,R000081_1342402331.RAW,198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-7757.9,1186.1,9,100,120,121,120,109,108,101,95,1773,1773,1779,1828,1842,1800,0.424,0.264,0.272,0.208,0.122,0.118,0.088,1.038,0.99,0.838,0.642,0.538,0.334,0.124,142.2436,157.2117,166.0784,169.1388,171.3836,170.3291,166.9992,157.4731,158.5348,151.4252,154.2191,152.4345,153.3372,175.4824,138.5172,151.4277,160.4241,162.3194,162.2472,161.0479,156.444,157.635,158.4912,150.6577,152.2944,149.7423,148.5747,166.4166,112.7537,121.8703,125.1122,124.742,122.2249,118.3765,112.6253,133.1153,133.2675,123.8837,122.6237,116.191,113.1351,124.768,113.5893,126.2497,129.218,129.0928,123.66,120.2745,113.3652,134.0685,134.4945,124.9178,124.6222,118.5007,114.5499,125.6923
Line_05,TAPE0026.REEL,R000081_1342402331.RAW,198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-7748,1178.6,9,107,124,126,126,115,114,107,101,1773,99,99,97,1844,1802,0.456,0.266,0.272,0.21,0.12,0.096,0.086,1.024,0.05,0.036,0.044,0.51,0.45,0.118,139.4094,155.0838,164.4966,167.7676,170.8489,171.3616,168.6265,157.1121,168.8115,172.5679,167.7992,153.6509,150.5287,176.0254,135.999,149.3326,158.8423,160.9898,161.6408,161.1843,157.9715,157.2151,155.8012,158.131,154.2337,150.7266,147.0608,166.7442,112.4533,122.4868,127.3137,127.5655,123.9168,120.9778,117.1406,131.2806,117.489,114.9463,112.2796,117.1479,113.8887,128.7626,113.2048,125.4025,129.3433,129.7736,124.8806,122.1095,117.4423,132.1725,117.5998,115.0611,112.4045,118.832,115.1483,129.0421
Line_05,TAPE0026.REEL,R000081_1342402331.RAW,198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-7738.1,1171.1,9,3388,465,3418,3378,3389,157,113,124,130,109,101,99,119,118,2.722,2.71,2.576,2.842,1.172,1.166,1.942,1.962,1.672,1.724,1.826,1.912,2.07,2.912,74.3615,89.6736,93.9,93.3351,96.6752,92.2701,84.4044,81.1338,83.8201,85.0238,83.2336,81.1461,77.9631,97.4714,78.7104,94.0033,98.0094,97.8713,97.3644,92.9371,87.2869,84.0608,86.0524,87.3892,85.8486,83.961,81.1228,102.1133,71.9485,85.2469,90.811,91.7084,83.2239,75.7861,70.7103,67.0365,68.4187,69.2349,67.075,65.0896,61.6102,95.966,73.4385,85.4211,90.9797,92.9184,86.5085,85.3466,79.8807,76.001,78.1508,79.2955,77.2228,74.4384,70.9968,97.116
Line_05,TAPE0026.REEL,R000081_1342402331.RAW,198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-7728.2,1163.6,9,113,133,133,133,122,113,113,113,1777,1774,1780,1782,1843,1816,0.442,0.266,0.274,0.21,0.122,0.118,0.09,1.076,1.002,0.75,0.676,0.56,0.594,0.124,139.5891,154.6576,163.3917,166.44,168.58,167.3643,163.8038,159.3789,159.4281,154.6092,156.7288,154.3977,145.953,172.6507,136.0433,148.9064,157.7692,159.6622,159.4436,158.0831,153.3463,159.697,159.4368,153.3598,155.0282,151.8796,143.6909,163.5849,113.5517,122.1394,125.0416,125.3047,122.2842,116.5775,111.7825,131.8448,132.3274,124.1382,123.374,116.6785,113.3873,124.5816,114.311,125.9479,128.788,129.3071,123.7654,119.5999,112.9588,132.6824,133.5492,125.2036,125.0981,118.7561,114.7198,125.2955
Line_05,TAPE0026.REEL,R000081_1342402331.RAW,198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-7718.3,1156,9,117,137,138,137,126,117,117,117,1778,1781,1778,1789,1861,1815,0.448,0.266,0.274,0.208,0.12,0.116,0.088,1.016,0.98,0.738,0.638,0.542,0.516,0.126,138.6903,153.8639,162.5022,165.6304,167.6906,166.5168,163.1197,160.408,159.8361,155.4591,157.6401,155.4989,147.5418,171.7371,135.2031,148.1127,156.8797,158.811,158.4824,157.1614,152.5645,160.477,159.7484,154.1397,155.6883,152.8389,144.6683,162.7408,113.4985,121.2595,125.0968,125.0273,122.0627,116.2386,111.8627,132.0313,132.7421,124.1243,122.6392,116.9294,113.7964,124.0421,114.5344,125.704,128.7729,129.1386,123.7744,119.3219,113.5029,132.8412,133.8194,124.9829,124.0802,119.0762,115.0278,124.7696
Line_05,TAPE0026.REEL,R000081_1342402331.RAW,198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-7708.5,1148.3,9,1781,141,142,141,131,122,122,116,1778,1778,1778,1785,1842,1815,0.424,0.268,0.272,0.208,0.122,0.118,0.088,1.002,0.984,0.742,0.622,0.534,0.504,1.458,138.5101,153.3356,161.971,165.0514,167.0656,165.7805,162.298,159.82,159.4549,154.5669,156.9501,154.1772,147.2254,163.7218,134.7838,147.6169,156.3167,158.232,157.9292,156.4993,151.7429,159.8287,159.3849,153.2709,154.888,151.4526,144.2497,165.3593,112.9038,121.9002,124.9901,125.0309,122.2077,117.0624,112.6297,132.8659,133.3773,124.4085,122.2653,116.0519,112.7599,141.6758,115.2259,126.0127,128.715,129.2694,124.0188,119.9558,113.6476,133.6483,134.4525,125.3301,123.5285,118.0176,113.9642,142.1534
Line_05,TAPE0026.REEL,R000081_1342402331.RAW,198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-7698.7,1140.6,9,1781,145,146,146,135,126,126,120,1778,1778,1778,1785,1845,1785,0.444,0.268,0.272,0.206,0.124,0.124,0.088,1.014,1.012,0.824,0.574,0.54,0.428,1.502,137.3096,152.5811,161.1069,164.2055,166.0699,164.5299,161.0554,158.0475,158.1583,151.4806,155.1639,152.1944,151.0336,162.7085,133.7834,146.8625,155.4525,157.3442,157.0041,155.4642,150.5002,158.1079,158.2101,150.6398,152.7531,149.5184,147.3481,164.4752,112.8366,121.7312,124.555,124.5371,122.1656,118.0659,114.3415,132.7544,133.6559,124.6953,122.613,114.899,112.8173,141.5131,114.9436,125.7414,128.5235,128.9398,124.1412,120.2751,114.8423,133.6734,134.7645,125.6189,124.1989,116.472,114.119,141.9943
Line_05,TAPE0026.REEL,R000081_1342402331.RAW,198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-7689,1132.8,9,121,147,163,148,138,129,129,129,1778,1778,121,119,124,1798,0.49,0.27,0.27,0.204,0.122,0.114,0.086,1.092,1.048,0.034,0.044,0.032,0.388,0.12,136.4463,152.2134,161.4354,164.7683,167.596,167.164,164.6105,156.6254,157.2548,167.6007,164.2006,161.9806,153.3868,172.4669,133.3483,146.527,155.7491,157.8646,158.4596,157.7331,153.9555,157.0076,157.4584,152.9155,150.6352,147.0321,149.2752,163.2587,113.5922,122.7792,126.7157,126.403,122.7598,118.9159,119.6517,133.9844,134.1073,117.5633,125.3438,109.0927,115.1725,130.9477,113.8142,125.987,129.4803,129.4211,124.6494,121.1792,119.8803,134.5366,134.9916,117.6823,125.4526,109.2047,116.127,131.1048
Line_05,TAPE0026.REEL,R000081_1342402331.RAW,198,1:32:11,2628.5,-99999,245019.6,5172601.6,9,-7679.3,1125,9,123,147,148,148,138,138,130,130,1778,1778,123,121,123,130,0.526,0.566,0.316,0.214,0.122,0.092,0.086,1.106,1.02,0.034,0.06,0.046,0.058,0.106,127.047,139.5507,152.7463,157.2615,161.131,162.1707,159.312,152.7997,153.9243,165.3223,161.871,162.3325,159.6974,168.0781,124.2568,137.0788,147.7432,150.5656,151.9946,151.8086,148.657,153.2372,154.0103,150.6371,149.6525,148.9601,147.3316,158.3311,108.775,122.9679,129.3107,129.6104,125.4323,116.8562,120.0191,132.3037,132.4553,124.308,128.4084,112.6863,112.4877,134.7956,109.0143,124.3585,129.8057,130.0977,126.0221,117.6998,120.1459,132.6095,133.3026,124.5807,128.5119,112.7931,112.6227,134.9476
