Line,Tape,File,Date,Time,Depth_at_Airgun(m),Depth_at_Reciever(m),X_Airgun,Y_Airgun,Z_Airgun,X_R1,Y_R1,Z_R1,Peak_Index,Peak_1,Peak_2,Peak_3,Peak_4,Peak_5,Peak_6,Peak_7,Peak_8,Peak_9,Peak_10,Peak_11,Peak_12,Peak_13,T90_1,T90_2,T90_3,T90_4,T90_5,T90_6,T90_7,T90_8,T90_9,T90_10,T90_11,T90_12,T90_13,T90_full,RMS_1,RMS_2,RMS_3,RMS_4,RMS_5,RMS_6,RMS_7,RMS_8,RMS_9,RMS_10,RMS_11,RMS_12,RMS_13,RMS_full,SEL_1,SEL_2,SEL_3,SEL_4,SEL_5,SEL_6,SEL_7,SEL_8,SEL_9,SEL_10,SEL_11,SEL_12,SEL_13,SEL_full,SPL_MLM_1,SPL_MLM_2,SPL_MLM_3,SPL_MLM_4,SPL_MLM_5,SPL_MLM_6,SPL_MLM_7,SPL_MLM_8,SPL_MLM_9,SPL_MLM_10,SPL_MLM_11,SPL_MLM_12,SPL_MLM_13,SPL_MLM_full,SEL_MLM_1,SEL_MLM_2,SEL_MLM_3,SEL_MLM_4,SEL_MLM_5,SEL_MLM_6,SEL_MLM_7,SEL_MLM_8,SEL_MLM_9,SEL_MLM_10,SEL_MLM_11,SEL_MLM_12,SEL_MLM_13,SEL_MLM_full
Line_05,TAPE0028.REEL,R000028_1342408921.RAW,198,3:22:1,2624.6,-99999,242380.6,5172371.7,9,-7201.6,3025.4,9,87,115,116,103,114,95,95,84,84,87,87,1763,1775,94,0.34,0.284,0.276,0.16,0.146,0.09,0.118,0.09,0.046,0.038,0.68,0.672,0.084,0.098,144.8523,157.8085,164.8653,171.1493,170.2044,172.6867,166.1973,161.6936,166.7337,166.5319,154.8566,149.1834,153.1116,177.1214,140.1671,152.3417,159.2744,163.1905,161.8479,162.2291,156.9161,151.236,153.3613,152.3297,153.1817,147.4571,142.3544,167.0337,115.1439,123.9918,125.9396,128.4021,123.4327,116.3207,112.2897,111.5666,111.0506,107.3856,123.4467,112.8831,98.3063,127.6739,115.4524,127.925,128.5573,131.7602,126.7649,118.2666,113.0954,111.7739,111.2326,107.5335,125.2574,113.5815,100.1781,129.9552
Line_05,TAPE0028.REEL,R000028_1342408921.RAW,198,3:22:1,2624.6,-99999,242380.6,5172371.7,9,-7192,3017.5,9,99,119,120,107,118,99,99,94,88,92,89,1763,1777,1798,0.34,0.284,0.276,0.158,0.146,0.088,0.12,0.092,0.062,0.042,0.654,0.652,0.456,0.1,144.2043,157.1827,164.1346,170.4566,169.2052,171.5833,164.941,159.5891,162.6575,162.7639,153.8219,149.0699,146.2309,175.9653,139.5191,151.7159,158.5437,162.4432,160.8488,161.0282,155.7328,149.227,150.5814,148.9964,151.9777,147.2124,142.8205,165.9653,115.8227,123.5151,125.0602,128.0345,123.6243,117.4322,114.6135,113.3125,112.2373,108.682,121.8365,113.0163,110.3131,127.4764,116.0991,127.8458,128.3284,131.3925,126.6667,118.9637,114.9927,113.4829,112.4041,108.8183,123.2914,113.6782,110.6556,129.6786
Line_05,TAPE0028.REEL,R000028_1342408921.RAW,198,3:22:1,2624.6,-99999,242380.6,5172371.7,9,-7182.5,3009.5,9,99,124,140,125,124,106,106,100,95,102,99,97,95,1797,0.36,0.29,0.276,0.158,0.146,0.088,0.106,0.09,0.048,0.05,0.052,0.108,0.426,0.078,141.3248,155.249,162.5565,169.2139,168.7621,172.0283,167.3043,166.469,174.5488,173.7501,166.2189,150.6786,146.7352,178.4614,136.8878,149.873,156.9655,161.2004,160.4056,161.4731,157.5573,156.0114,161.3612,160.7398,153.3789,141.0129,143.0292,167.3824,114.3479,128.6396,132.6651,131.2346,129.6786,125.4071,122.0195,121.6276,118.5497,117.5332,115.218,104.3479,111.5303,134.7985,114.5612,129.3246,133.1084,132.4789,130.2083,125.8106,122.4465,122.1295,118.7129,117.7994,115.5839,104.5001,112.0737,135.2931
Line_05,TAPE0028.REEL,R000028_1342408921.RAW,198,3:22:1,2624.6,-99999,242380.6,5172371.7,9,-7172.9,3001.6,9,115,1145,2801,115,115,133,155,128,2793,109,101,110,1789,1886,3.074,3.06,1.662,1.652,1.85,1.842,1.882,3.536,1.636,1.478,1.902,3.522,3.556,1.84,86.436,97.658,94.6199,92.864,90.578,89.0771,85.1485,80.6776,87.1792,88.3329,82.9217,80.6255,78.3765,98.2258,91.313,102.5152,96.8262,95.0441,93.2498,91.73,87.8947,86.1627,89.3171,90.0296,85.7139,86.0934,83.8861,100.874,83.1328,90.6808,79.3893,77.9046,77.3805,76.9695,71.6461,81.71,72.3329,72.5094,67.5084,82.5201,80.3054,83.5682,83.5188,90.8749,88.8936,87.4037,86.2566,80.6388,80.6812,81.8271,82.0698,82.5705,77.2037,82.6317,80.4208,93.0661
Line_05,TAPE0028.REEL,R000028_1342408921.RAW,198,3:22:1,2624.6,-99999,242380.6,5172371.7,9,-7163.3,2993.6,9,119,132,133,120,131,112,112,106,101,1789,1764,1764,1867,1795,0.344,0.288,0.278,0.158,0.146,0.09,0.112,0.092,0.988,0.852,0.662,0.666,0.528,0.102,141.5257,154.567,161.3697,167.6988,166.1193,168.0959,162.1521,156.2618,154.0553,150.6227,154.6434,148.7209,144.2565,172.7936,136.8913,149.1609,155.8101,159.6854,157.7628,157.6383,152.6443,145.8997,154.0029,149.9271,152.852,146.9557,141.4829,162.8796,114.3127,125.4861,126.4529,127.1743,123.9728,119.8298,115.399,112.8111,124.7568,121.3793,117.5151,112.6379,109.5673,128.1134,116.5302,127.8799,129.2159,130.4641,126.2845,120.3314,115.8658,112.997,124.9362,122.2054,118.7294,113.652,110.2424,129.6886
Line_05,TAPE0028.REEL,R000028_1342408921.RAW,198,3:22:1,2624.6,-99999,242380.6,5172371.7,9,-7153.8,2985.6,9,116,136,137,124,135,116,116,110,105,108,1762,1876,1867,1802,0.346,0.286,0.276,0.158,0.146,0.088,0.108,0.09,0.044,0.828,0.646,0.546,0.602,0.102,140.7007,153.6758,160.4586,166.7559,165.1557,167.1759,161.478,156.9941,161.9093,151.4862,155.6318,151.1698,143.7799,171.986,136.0915,148.2394,154.8677,158.7424,156.7992,156.6207,151.8123,146.5365,148.3438,150.6665,153.7341,148.5417,141.5758,162.072,114.666,123.0391,124.5495,127.1829,123.2664,117.941,114.1709,111.8167,111.8932,121.4383,118.0212,113.2473,109.5309,126.938,116.1878,126.9314,128.8264,130.1796,126.0378,118.7096,114.8005,112.0565,112.0418,122.2363,119.2173,114.3649,109.9714,128.7896
Line_05,TAPE0028.REEL,R000028_1342408921.RAW,198,3:22:1,2624.6,-99999,242380.6,5172371.7,9,-7144.3,2977.6,9,128,141,141,129,140,121,121,115,1793,1753,1765,1765,1869,1798,0.362,0.286,0.278,0.16,0.144,0.09,0.108,1.012,0.978,0.852,0.658,0.624,0.65,0.104,140.0809,153.1722,159.8244,166.1033,164.545,166.1517,160.3893,153.6519,154.3132,151.1032,154.9351,149.5362,142.9373,171.0952,135.668,147.7358,154.2649,158.1445,156.1286,155.6941,150.7236,153.7037,154.2166,150.4075,153.1174,147.4881,141.0664,161.2656,114.8415,123.0254,124.4149,126.7364,123.2202,117.0565,112.5926,123.3924,125.2311,121.5528,118.6569,113.3436,110.0053,126.6296,115.8151,126.8357,129.027,129.9402,125.9734,118.1609,113.4439,123.5323,125.3851,122.1205,119.5818,114.3333,110.4719,128.5101
Line_05,TAPE0028.REEL,R000028_1342408921.RAW,198,3:22:1,2624.6,-99999,242380.6,5172371.7,9,-7134.8,2969.6,9,1763,145,146,133,144,125,125,119,1786,1790,1765,1765,1871,1793,0.37,0.284,0.278,0.16,0.144,0.09,0.106,1.092,0.978,0.778,0.648,0.62,0.64,1.142,139.267,152.3915,158.9697,165.2437,163.5164,164.8337,159.0467,152.375,154.2183,151.9887,154.8055,149.1246,143.1719,161.2206,134.949,146.9247,153.4102,157.2849,155.1001,154.3761,149.2998,152.7572,154.1217,150.8985,152.9213,147.0485,141.2337,161.7972,114.1831,122.9012,124.7503,126.4269,122.2531,116.1048,113.1357,124.0993,124.7498,121.6186,118.6273,113.619,109.4357,138.2792,115.1132,126.4845,129.1153,129.7053,125.4517,117.3991,113.9464,124.3337,124.9348,122.0764,119.5262,114.7442,109.9102,138.5857
Line_05,TAPE0028.REEL,R000028_1342408921.RAW,198,3:22:1,2624.6,-99999,242380.6,5172371.7,9,-7125.3,2961.5,9,121,147,148,135,147,128,128,122,117,124,121,121,1871,125,0.366,0.286,0.278,0.16,0.142,0.086,0.098,0.088,0.054,0.044,0.046,0.654,0.082,0.086,138.5997,152.0913,159.093,165.7387,164.7768,167.0789,162.4448,161.6291,169.1067,170.0531,163.8068,148.8198,152.4618,173.8162,134.2345,146.655,153.5334,157.7799,156.2997,156.4239,152.357,151.0739,156.4307,156.4876,150.4344,146.9756,141.5999,163.1612,113.8542,122.9133,126.5401,127.1467,123.042,119.2949,117.9031,117.2998,116.3684,115.3668,119.8237,115.5138,108.3825,129.0814,115.1171,126.1012,129.585,130.2214,126.0052,120.0809,118.3362,117.6218,116.53,115.5006,119.9329,116.3007,108.6178,130.2614
Line_05,TAPE0028.REEL,R000028_1342408921.RAW,198,3:22:1,2624.6,-99999,242380.6,5172371.7,9,-7115.8,2953.4,9,122,164,163,147,147,129,129,124,119,126,123,121,119,127,0.66,0.32,0.296,0.168,0.146,0.088,0.09,0.088,0.054,0.04,0.048,0.108,0.08,0.078,125.3959,142.1831,150.759,158.196,158.0425,160.9731,157.3351,157.5643,165.8968,168.0855,162.458,153.4316,157.1757,169.7087,123.5914,137.2346,145.4719,150.4491,149.686,150.4179,146.8775,147.0091,153.2208,154.1061,149.2704,143.7658,146.2066,158.6296,106.1215,122.0376,129.2221,129.9059,125.6444,119.8396,119.8949,120.9962,121.168,122.8037,124.4149,113.3096,113.5242,133.503,106.3863,122.4505,129.5167,130.2404,126.0051,120.1057,120.4574,121.2234,121.4758,123.0314,124.524,113.4151,113.6464,133.6307
