Line,Tape,File,Date,Time,Depth_at_Airgun(m),Depth_at_Reciever(m),X_Airgun,Y_Airgun,Z_Airgun,X_R1,Y_R1,Z_R1,Peak_Index,Peak_1,Peak_2,Peak_3,Peak_4,Peak_5,Peak_6,Peak_7,Peak_8,Peak_9,Peak_10,Peak_11,Peak_12,Peak_13,T90_1,T90_2,T90_3,T90_4,T90_5,T90_6,T90_7,T90_8,T90_9,T90_10,T90_11,T90_12,T90_13,T90_full,RMS_1,RMS_2,RMS_3,RMS_4,RMS_5,RMS_6,RMS_7,RMS_8,RMS_9,RMS_10,RMS_11,RMS_12,RMS_13,RMS_full,SEL_1,SEL_2,SEL_3,SEL_4,SEL_5,SEL_6,SEL_7,SEL_8,SEL_9,SEL_10,SEL_11,SEL_12,SEL_13,SEL_full,SPL_MLM_1,SPL_MLM_2,SPL_MLM_3,SPL_MLM_4,SPL_MLM_5,SPL_MLM_6,SPL_MLM_7,SPL_MLM_8,SPL_MLM_9,SPL_MLM_10,SPL_MLM_11,SPL_MLM_12,SPL_MLM_13,SPL_MLM_full,SEL_MLM_1,SEL_MLM_2,SEL_MLM_3,SEL_MLM_4,SEL_MLM_5,SEL_MLM_6,SEL_MLM_7,SEL_MLM_8,SEL_MLM_9,SEL_MLM_10,SEL_MLM_11,SEL_MLM_12,SEL_MLM_13,SEL_MLM_full
Line_07,TAPE0048.REEL,R000319_1342512128.RAW,199,8:2:8,649.6,-99999,351952.8,5166050,9,8174.4,63.7,9,87,115,132,131,96,105,90,117,91,1556,1550,1619,1602,1601,0.334,0.32,0.21,0.246,0.106,0.152,0.13,0.092,0.918,0.654,0.644,0.238,0.204,0.152,145.0704,161.1934,166.4418,165.3153,169.8556,162.7355,158.2955,159.7834,156.3969,156.9106,154.9285,158.3048,157.657,172.4179,140.3078,156.2449,159.664,159.2247,160.1086,154.5539,149.435,149.4213,156.0253,155.0664,153.0174,152.0706,150.7533,164.2363,113.2318,123.8087,134.8304,137.7003,135.7906,132.224,124.1367,127.1602,123.3518,121.1824,119.5449,117.2898,110.8408,142.2922,113.4146,124.3495,135.2762,138.1627,137.7921,133.3343,129.1017,132.9337,124.0052,121.7156,119.7211,118.0538,112.0348,142.6099
Line_07,TAPE0048.REEL,R000319_1342512128.RAW,199,8:2:8,649.6,-99999,351952.8,5166050,9,8161.9,63.3,9,108,119,136,123,100,109,94,117,95,1553,1550,1579,1604,1600,0.336,0.32,0.21,0.246,0.106,0.152,0.13,0.09,0.928,0.594,0.66,0.232,0.156,0.152,144.3122,160.3839,165.645,164.5661,169.1301,162.1524,157.9486,160.0256,155.409,156.9942,152.8531,158.4615,159.1088,171.5537,139.5756,155.4354,158.8672,158.4755,159.3832,153.9708,149.0881,149.568,155.0845,154.732,151.0485,152.1164,151.0401,163.3721,113.1756,123.9724,135.3197,137.7931,135.812,132.0358,125.104,127.8544,124.0216,120.9358,119.6352,117.0465,112.1335,142.3628,113.2961,124.5974,135.7068,138.2132,137.6507,133.0991,129.5663,132.0813,124.6435,121.3842,119.7919,117.5085,113.5218,142.6081
Line_07,TAPE0048.REEL,R000319_1342512128.RAW,199,8:2:8,649.6,-99999,351952.8,5166050,9,8149.4,63,9,98,124,141,141,106,115,100,128,101,101,101,96,98,1603,0.362,0.324,0.208,0.24,0.104,0.15,0.13,0.086,0.044,0.056,0.076,0.064,0.172,0.122,141.4208,158.1454,163.7747,163.472,168.5862,162.2969,160.1027,166.043,173.1952,170.9412,164.1083,160.2777,157.5621,174.0232,137.0079,153.2508,156.9553,157.2742,158.7565,154.0578,151.2421,155.388,159.6297,158.423,152.9164,148.3395,149.9174,164.8868,110.6646,124.7236,134.1819,136.5648,135.8465,131.5307,126.7469,130.4239,133.0175,128.2234,125.8509,123.142,113.9919,141.8648,110.8041,125.5049,134.5095,136.8894,137.3932,133.1659,129.3403,131.2232,133.5448,128.6352,126.8965,124.71,114.997,142.0917
Line_07,TAPE0048.REEL,R000319_1342512128.RAW,199,8:2:8,649.6,-99999,351952.8,5166050,9,8137,62.6,9,100,2553,142,101,2777,143,150,642,125,109,103,100,109,1603,3.308,1.416,1.922,2.202,0.612,1.916,2.812,1.854,1.434,1.56,1.89,1.892,3.594,1.714,70.7652,88.0218,89.7732,89.8207,95.062,84.1626,79.5207,80.6738,88.8545,87.7056,82.0144,81.9133,78.2808,95.7356,75.9609,89.5325,92.6107,93.2489,92.9295,86.9866,84.0108,83.3549,90.42,89.6369,84.779,84.6825,83.8366,98.0757,71.0414,74.6692,74.1536,83.4812,78.3427,71.6025,78.8358,66.181,73.5125,72.239,65.7893,66.0321,79.5766,80.0742,71.1886,81.3631,84.2191,83.6017,81.5437,79.9885,80.8662,75.3175,82.1399,82.2164,75.8956,75.7616,79.6901,90.1779
Line_07,TAPE0048.REEL,R000319_1342512128.RAW,199,8:2:8,649.6,-99999,351952.8,5166050,9,8124.5,62.2,9,1563,132,149,136,113,122,107,134,1567,1557,1551,1624,1617,1606,0.35,0.32,0.21,0.246,0.11,0.146,0.13,0.97,0.95,0.648,0.652,0.258,0.194,0.952,141.8155,157.7953,163.0714,161.8728,166.1552,159.3572,154.2733,152.8857,156.7326,156.9747,154.7166,157.8125,156.8999,163.1076,137.2562,152.8468,156.2936,155.7821,156.5691,151.0007,145.4127,152.7534,156.5098,155.0904,152.859,151.9287,149.7779,162.8939,111.8642,126.4998,133.7786,136.3609,136.0116,130.6162,125.062,120.828,123.6219,121.0977,119.9823,117.8222,112.6316,132.1472,112.0627,127.0847,134.0935,136.7986,136.7665,134.4095,129.0721,121.2544,124.1326,121.4348,120.1886,118.3792,113.6121,132.3662
Line_07,TAPE0048.REEL,R000319_1342512128.RAW,199,8:2:8,649.6,-99999,351952.8,5166050,9,8112,61.8,9,1563,136,153,140,117,126,111,133,1564,1557,1554,1619,1607,1605,0.35,0.322,0.21,0.246,0.11,0.146,0.13,0.976,0.952,0.628,0.65,0.228,0.19,0.946,141.2248,157.1615,162.4437,161.2812,165.5938,158.8694,153.9829,153.0944,156.7293,157.3659,154.9733,159.0357,157.9131,163.4762,136.6655,152.2401,155.6659,155.1906,156.0077,150.5129,145.1223,152.9889,156.5157,155.3455,153.1024,152.6151,150.7006,163.2352,111.6002,126.5499,133.0635,136.605,136.2305,130.7584,124.47,121.8031,124.4299,120.2034,120.8754,118.258,112.6383,132.6784,111.8175,127.09,133.4696,136.97,136.4868,133.6814,128.3082,122.159,125.0251,120.6692,121.0621,118.7808,114.0836,132.9425
Line_07,TAPE0048.REEL,R000319_1342512128.RAW,199,8:2:8,649.6,-99999,351952.8,5166050,9,8099.5,61.5,9,1604,141,157,144,121,130,115,138,1564,1554,1560,1616,1604,1608,0.356,0.322,0.208,0.246,0.112,0.148,0.13,0.976,0.95,0.616,0.606,0.256,0.168,0.94,140.6852,156.7329,162.0413,160.8242,165.0228,158.3119,153.1786,153.3221,156.8537,158.1726,155.7674,159.0692,160.3358,163.8561,136.1997,151.8114,155.2219,154.7335,155.5149,150.0145,144.318,153.2166,156.6309,156.0684,153.5921,153.1516,152.5889,163.5873,111.8164,125.9957,132.5787,136.9422,136.4983,131.2278,124.3821,122.8156,125.0464,120.3409,121.1813,118.2766,112.9591,132.9234,112.1113,126.5442,132.9782,137.2481,136.9177,132.5528,128.6584,123.4122,125.7735,120.8295,121.3913,118.9804,114.1645,133.1512
Line_07,TAPE0048.REEL,R000319_1342512128.RAW,199,8:2:8,649.6,-99999,351952.8,5166050,9,8087.1,61.1,9,1555,145,161,148,125,134,120,142,1630,1558,1560,1585,1618,1611,0.36,0.322,0.208,0.244,0.11,0.152,0.13,0.956,0.934,0.594,0.552,0.252,0.09,0.934,139.8398,155.8865,161.2315,160.078,164.2317,157.2837,151.9751,153.1535,156.7935,157.961,156.4838,159.5751,163.0126,163.7116,135.4029,150.965,154.4121,153.9519,154.6456,149.1021,143.1145,152.9581,156.4969,155.6989,153.9031,153.5891,152.555,163.4151,111.4023,125.3112,132.3793,136.8665,136.6397,131.5921,124.1874,121.1546,124.3706,120.7343,120.6265,117.6227,113.3435,133.3483,111.7891,125.7888,132.7326,137.1593,136.9491,132.174,128.9797,121.7474,124.9622,120.9571,120.8625,118.45,114.851,133.58
Line_07,TAPE0048.REEL,R000319_1342512128.RAW,199,8:2:8,649.6,-99999,351952.8,5166050,9,8074.6,60.8,9,120,147,164,163,128,137,123,145,123,123,120,118,118,1605,0.364,0.322,0.208,0.242,0.104,0.152,0.13,0.086,0.048,0.054,0.056,0.058,0.098,0.128,139.0104,155.5268,161.0992,160.7195,165.6819,159.286,156.236,160.973,167.4123,166.3982,163.4983,162.7872,162.6271,170.5201,134.6214,150.6053,154.2798,154.5576,155.8522,151.1045,147.3754,150.3179,154.2247,153.7222,150.9802,150.4215,152.5393,161.5922,111.1285,124.4359,132.0193,136.6789,136.5653,132.2116,125.3243,130.4038,133.5064,127.935,126.4845,124.5365,115.3748,141.8985,111.418,124.9087,132.3985,136.9431,136.9004,132.8392,130.5659,132.4567,134.3856,128.2276,127.6513,126.4136,116.4803,142.1339
Line_07,TAPE0048.REEL,R000319_1342512128.RAW,199,8:2:8,649.6,-99999,351952.8,5166050,9,8062.1,60.5,9,122,145,163,163,138,138,124,152,125,125,122,120,122,122,0.426,0.348,0.218,0.238,0.108,0.15,0.132,0.092,0.048,0.052,0.056,0.06,0.056,0.072,127.1239,145.7746,152.1501,153.2156,158.6383,153.109,150.9752,156.489,164.0457,164.0709,162.8927,164.2079,163.5084,169.5961,123.418,141.1904,145.5347,146.9814,148.9725,144.8699,142.1809,146.1269,150.8582,151.2309,150.3746,151.9894,150.9903,158.1694,104.4476,116.2098,126.45,130.6962,130.7573,127.6742,124.6824,130.4982,129.9661,125.7079,129.9287,122.9215,120.1902,138.0269,104.6739,116.4468,126.8103,130.9884,131.0501,128.4589,127.135,130.7237,130.7151,125.9471,130.1096,124.6651,121.3427,138.2147
