Line,Tape,File,Date,Time,Depth_at_Airgun(m),Depth_at_Reciever(m),X_Airgun,Y_Airgun,Z_Airgun,X_R1,Y_R1,Z_R1,Peak_Index,Peak_1,Peak_2,Peak_3,Peak_4,Peak_5,Peak_6,Peak_7,Peak_8,Peak_9,Peak_10,Peak_11,Peak_12,Peak_13,T90_1,T90_2,T90_3,T90_4,T90_5,T90_6,T90_7,T90_8,T90_9,T90_10,T90_11,T90_12,T90_13,T90_full,RMS_1,RMS_2,RMS_3,RMS_4,RMS_5,RMS_6,RMS_7,RMS_8,RMS_9,RMS_10,RMS_11,RMS_12,RMS_13,RMS_full,SEL_1,SEL_2,SEL_3,SEL_4,SEL_5,SEL_6,SEL_7,SEL_8,SEL_9,SEL_10,SEL_11,SEL_12,SEL_13,SEL_full,SPL_MLM_1,SPL_MLM_2,SPL_MLM_3,SPL_MLM_4,SPL_MLM_5,SPL_MLM_6,SPL_MLM_7,SPL_MLM_8,SPL_MLM_9,SPL_MLM_10,SPL_MLM_11,SPL_MLM_12,SPL_MLM_13,SPL_MLM_full,SEL_MLM_1,SEL_MLM_2,SEL_MLM_3,SEL_MLM_4,SEL_MLM_5,SEL_MLM_6,SEL_MLM_7,SEL_MLM_8,SEL_MLM_9,SEL_MLM_10,SEL_MLM_11,SEL_MLM_12,SEL_MLM_13,SEL_MLM_full
Line_AT,TAPE0106.REEL,R000011_1342875702.RAW,203,13:1:42,42.2,-99999,396255.8,5216884.6,9,134.3,-7144.1,9,106,121,137,124,112,147,107,101,97,96,104,99,94,118,0.44,0.34,0.186,0.232,0.188,0.182,0.144,0.168,0.31,0.454,0.584,0.642,0.878,0.142,77.3907,94.9816,106.5323,109.8449,112.2807,117.9216,121.7535,117.2502,108.1982,105.8135,101.0447,97.4928,91.5772,123.8198,73.8253,90.2964,99.2274,103.4998,105.0222,110.5223,113.3372,109.5033,103.1118,102.3841,98.7088,95.5681,91.0121,115.3427,46.2016,57.5611,67.1572,69.887,71.952,72.1708,73.0092,75.9248,76.2194,76.4624,77.8812,77.7792,74.9503,84.6693,46.6042,57.6758,67.3177,70.1475,72.103,72.3074,73.1395,76.0441,76.3649,76.5761,77.9971,78.5291,76.8483,84.7762
Line_AT,TAPE0106.REEL,R000011_1342875702.RAW,203,13:1:42,42.2,-99999,396255.8,5216884.6,9,140.3,-7133,9,101,132,132,133,110,145,107,107,102,94,106,97,97,100,0.452,0.33,0.188,0.232,0.178,0.178,0.154,0.184,0.672,0.552,0.592,0.246,0.356,0.142,153.8754,170.4827,180.4162,181.348,182.7968,184.8794,186.8029,180.874,164.8437,163.2495,160.5386,163.9325,156.2044,190.4992,150.4267,165.6679,173.1578,175.0029,175.301,177.3836,178.6781,173.5222,163.1174,160.6689,158.2618,157.8418,151.7189,182.0221,97.5636,106.56,115.0785,116.427,117.1998,115.4832,116.6894,116.6743,118.842,118.6751,120.11,120.4877,115.7956,126.7233,97.708,106.7693,115.2113,116.656,117.3198,115.605,116.8491,116.8116,118.9865,118.9443,120.3115,120.6397,115.9247,126.8488
Line_AT,TAPE0106.REEL,R000011_1342875702.RAW,203,13:1:42,42.2,-99999,396255.8,5216884.6,9,146.2,-7121.8,9,105,135,136,136,114,114,105,110,101,97,100,102,97,100,0.452,0.332,0.188,0.222,0.158,0.202,0.154,0.172,0.466,0.468,0.398,0.694,0.612,0.142,153.6856,170.5516,180.5045,181.313,182.9951,183.5666,185.8816,179.3014,166.9915,165.2705,165.5435,152.1474,150.4272,189.911,150.237,165.763,173.2461,174.7765,174.9816,176.6201,177.7568,171.6567,163.6754,161.973,161.5423,150.561,148.2947,181.4339,102.1806,109.8406,116.4548,116.3939,116.7043,114.7816,117.7137,117.8435,116.6989,118.3205,120.3108,117.3,113.0317,126.211,102.3091,110.0348,116.622,116.5624,116.857,114.9483,117.9658,118.048,116.922,118.5289,120.503,117.5907,113.3991,126.3764
Line_AT,TAPE0106.REEL,R000011_1342875702.RAW,203,13:1:42,42.2,-99999,396255.8,5216884.6,9,152.2,-7110.7,9,109,139,139,140,118,126,103,114,105,104,104,104,102,115,0.448,0.338,0.19,0.276,0.146,0.204,0.168,0.162,0.26,0.53,0.558,0.234,0.352,0.14,153.3674,170.3491,180.4755,180.478,183.2623,182.319,184.456,178.1128,170.2355,163.3112,160.1948,161.417,154.9356,189.5253,149.8802,165.6383,173.263,174.8871,174.9059,175.4153,176.7091,170.2079,164.3852,160.554,157.6611,155.1091,150.4011,180.9866,98.532,107.5009,114.952,116.1966,117.6643,117.1891,118.663,117.2587,118.7579,119.188,119.1097,119.1817,113.7984,126.7107,98.6721,107.6848,115.0741,116.3706,117.7733,117.3426,118.8812,117.4476,118.957,119.4757,119.4627,119.3263,114.0284,126.8594
Line_AT,TAPE0106.REEL,R000011_1342875702.RAW,203,13:1:42,42.2,-99999,396255.8,5216884.6,9,158.1,-7099.5,9,133,142,143,144,122,131,146,124,133,119,119,112,103,121,0.432,0.356,0.19,0.286,0.142,0.194,0.146,0.224,0.514,0.346,0.368,0.482,0.286,0.132,153.1985,169.8914,180.2691,180.6119,183.9921,181.6748,184.3016,172.7563,163.9633,166.4375,165.7453,155.8703,155.3667,189.5414,149.5533,165.4059,173.0566,175.1755,175.515,174.5528,175.9451,166.2588,161.073,161.8283,161.4038,152.7008,149.9303,180.7471,103.4576,110.3148,114.4287,114.3008,116.6247,115.7823,118.003,116.4912,115.0785,117.6861,119.4348,115.6122,112.3231,125.4692,103.7528,110.5487,114.6415,114.5108,116.7428,115.9329,118.2096,116.6734,115.2826,117.9009,119.6354,115.7499,112.5969,125.6094
Line_AT,TAPE0106.REEL,R000011_1342875702.RAW,203,13:1:42,42.2,-99999,396255.8,5216884.6,9,164,-7088.4,9,136,146,147,147,135,134,149,127,132,115,117,117,118,135,0.436,0.358,0.19,0.244,0.144,0.194,0.098,0.176,0.374,0.318,0.376,0.29,0.316,0.118,153.0301,169.7652,180.0534,181.8779,185.1533,182.0384,186.9504,177.5376,167.8725,167.4653,164.4669,161.9773,155.3897,190.8174,149.425,165.304,172.8409,175.7518,176.7369,174.9164,176.8627,169.9927,163.6013,162.4896,160.2187,156.6013,150.3865,181.5362,100.449,109.2758,116.9856,115.4075,118.4048,117.7652,117.6719,116.2295,116.8275,118.1538,118.7129,116.4899,112.1975,126.0596,100.6575,109.5267,117.16,115.5748,118.5315,117.9799,117.7996,116.379,116.9763,118.3179,118.9013,116.6078,112.4328,126.1957
Line_AT,TAPE0106.REEL,R000011_1342875702.RAW,203,13:1:42,42.2,-99999,396255.8,5216884.6,9,169.9,-7077.2,9,140,149,150,151,129,138,153,131,136,147,116,120,122,119,0.45,0.344,0.19,0.238,0.12,0.18,0.084,0.144,0.226,0.536,0.416,0.224,0.304,0.108,152.6868,169.6772,179.6755,181.8904,186.4072,182.1151,188.0005,181.1661,169.9696,162.0703,163.9544,163.9907,156.093,191.4354,149.2189,165.0428,172.4631,175.6562,177.1991,174.6678,177.2433,172.7498,163.5106,159.3619,160.1453,157.4932,150.9217,181.7696,103.5887,111.2853,117.31,117.993,119.1126,118.345,118.4178,116.5788,115.583,118.0716,120.2084,118.991,114.1711,127.0879,103.7587,111.4218,117.4392,118.2165,119.2766,118.4737,118.6139,116.7325,115.8283,118.2476,120.3872,119.1017,114.3823,127.2104
Line_AT,TAPE0106.REEL,R000011_1342875702.RAW,203,13:1:42,42.2,-99999,396255.8,5216884.6,9,175.8,-7066,9,130,150,166,153,131,140,161,133,133,152,132,123,126,119,0.456,0.338,0.19,0.24,0.122,0.198,0.086,0.138,0.186,0.05,0.132,0.38,0.504,0.104,152.4942,169.9168,180.1086,182.228,187.6259,182.993,190.4448,185.8475,177.294,189.0121,180.1049,164.2629,155.621,194.1194,149.0838,165.206,172.8961,176.0301,178.4895,175.9597,179.7898,177.2463,169.9892,176.0018,171.3107,160.0607,152.6453,184.2897,104.8571,114.3472,119.0142,120.5808,121.0545,120.0588,120.457,121.3568,126.6727,127.2403,126.1606,123.6541,119.644,132.5696,105.0045,114.461,119.1362,120.7365,121.2314,120.202,120.6395,121.5044,126.9043,127.3716,126.2878,123.8148,119.7598,132.6947
Line_AT,TAPE0106.REEL,R000011_1342875702.RAW,203,13:1:42,42.2,-99999,396255.8,5216884.6,9,181.6,-7054.8,9,147,156,157,158,136,144,159,138,138,160,145,138,130,133,0.458,0.334,0.19,0.224,0.158,0.2,0.086,0.146,0.32,0.166,0.156,0.24,0.446,0.108,151.9673,169.665,179.6983,181.1761,185.3875,182.0642,187.3678,181.971,168.7379,173.1468,172.9043,164.0509,153.3436,191.2853,148.576,164.9025,172.4858,174.6786,177.3741,175.0745,176.7128,173.6146,163.7894,165.3478,164.8355,157.853,149.8369,181.6195,99.4591,111.5143,122.2256,121.2948,120.6721,118.7468,120.4738,119.5204,121.4153,122.0552,120.4056,119.5103,114.2538,129.4337,99.8418,111.7887,122.3646,121.4249,120.8109,118.864,120.6469,119.7456,121.5337,122.1874,120.6743,119.6401,114.4214,129.5463
Line_AT,TAPE0106.REEL,R000011_1342875702.RAW,203,13:1:42,42.2,-99999,396255.8,5216884.6,9,187.5,-7043.6,9,137,159,175,162,140,148,170,142,137,137,137,137,136,133,0.44,0.336,0.188,0.216,0.164,0.202,0.122,0.14,0.57,0.188,0.18,0.676,0.398,0.11,152.0156,169.8148,179.7256,180.9191,184.2691,180.8739,184.5491,181.0797,162.1496,170.801,170.4677,153.0314,152.3948,190.1704,148.4502,165.0782,172.4672,174.2636,176.4175,173.9275,175.4127,172.541,159.7084,163.5426,163.0205,151.3309,148.3936,180.5844,103.0515,116.3974,124.4468,124.3713,124.6188,123.7216,124.285,123.4027,122.8415,123.5891,120.3988,115.7209,112.1,131.8824,103.5969,116.5828,124.8904,124.6232,124.7939,123.9217,124.5042,123.5832,122.9774,123.7676,120.5546,115.8998,112.3354,132.0108
